Year,Country,Sport,Discipline,GoldCount,SilverCount,BronzeCount
1956,FIN,Wrestling,Wrestling Gre-R,2,0,0
1956,FRA,Athletics,Athletics,1,0,0
1956,FRA,Boxing,Boxing,0,0,2
1956,FRA,Canoe / Kayak,Canoe / Kayak F,0,1,0
1956,FRA,Cycling,Cycling Road,1,1,0
1956,FRA,Cycling,Cycling Track,1,1,0
1956,FRA,Fencing,Fencing,1,1,2
1956,FRA,Rowing,Rowing,0,0,1
1956,FRA,Weightlifting,Weightlifting,0,0,1
1956,GBR,Aquatics,Swimming,1,0,1
1956,GBR,Athletics,Athletics,1,4,2
1956,GBR,Boxing,Boxing,2,1,2
1956,GBR,Cycling,Cycling Road,0,1,1
1956,GBR,Cycling,Cycling Track,0,0,1
1956,GBR,Equestrian,Eventing,1,0,1
1956,GBR,Equestrian,Jumping,0,0,2
1956,GBR,Fencing,Fencing,1,0,0
1956,GBR,Sailing,Sailing,0,1,2
1956,GRE,Athletics,Athletics,0,0,1
1956,HUN,Aquatics,Swimming,0,1,1
1956,HUN,Aquatics,Water polo,1,0,0
1956,HUN,Athletics,Athletics,0,2,0
1956,HUN,Boxing,Boxing,1,0,0
1956,HUN,Canoe / Kayak,Canoe / Kayak F,1,3,3
1956,HUN,Fencing,Fencing,2,1,1
1956,HUN,Gymnastics,Artistic G.,4,2,1
1956,HUN,Wrestling,Wrestling Gre-R,0,1,1
1956,IND,Hockey,Hockey,1,0,0
1956,IRI,Weightlifting,Weightlifting,0,0,1
1956,IRI,Wrestling,Wrestling Free.,2,2,0
1956,IRL,Athletics,Athletics,1,0,0
1956,IRL,Boxing,Boxing,0,1,3
1956,ISL,Athletics,Athletics,0,1,0
1956,ITA,Boxing,Boxing,0,1,1
1956,ITA,Cycling,Cycling Road,1,0,0
1956,ITA,Cycling,Cycling Track,2,1,1
1956,ITA,Equestrian,Jumping,0,2,1
1956,ITA,Fencing,Fencing,3,2,2
1956,ITA,Rowing,Rowing,1,0,0
1956,ITA,Sailing,Sailing,0,1,0
1956,ITA,Shooting,Shooting,1,0,1
1956,ITA,Weightlifting,Weightlifting,0,0,2
1956,ITA,Wrestling,Wrestling Gre-R,0,1,1
1956,JPN,Aquatics,Swimming,1,4,0
1956,JPN,Gymnastics,Artistic G.,1,5,3
1956,JPN,Wrestling,Wrestling Free.,2,1,0
1956,KOR,Boxing,Boxing,0,1,0
1956,KOR,Weightlifting,Weightlifting,0,0,1
1956,MEX,Aquatics,Diving,1,0,1
1956,NOR,Athletics,Athletics,1,0,2
1956,NZL,Athletics,Athletics,1,0,0
1956,NZL,Sailing,Sailing,1,0,0
1956,PAK,Hockey,Hockey,0,1,0
1956,POL,Athletics,Athletics,1,1,0
1956,POL,Boxing,Boxing,0,0,2
1956,POL,Fencing,Fencing,0,2,0
1956,POL,Gymnastics,Artistic G.,0,0,1
1956,POL,Shooting,Shooting,0,1,0
1956,POL,Weightlifting,Weightlifting,0,0,1
1956,ROU,Boxing,Boxing,1,2,1
1956,ROU,Canoe / Kayak,Canoe / Kayak F,3,0,0
1956,ROU,Fencing,Fencing,0,1,0
1956,ROU,Gymnastics,Artistic G.,0,0,2
1956,ROU,Shooting,Shooting,1,0,1
1956,ROU,Wrestling,Wrestling Gre-R,0,0,1
1956,RSA,Aquatics,Swimming,0,0,1
1956,RSA,Boxing,Boxing,0,0,2
1956,RSA,Cycling,Cycling Track,0,0,1
1956,SUI,Equestrian,Dressage,0,0,1
1956,SWE,Athletics,Athletics,0,0,1
1956,SWE,Canoe / Kayak,Canoe / Kayak F,2,0,0
1956,SWE,Equestrian,Dressage,2,0,0
1956,SWE,Equestrian,Eventing,1,0,0
1956,SWE,Gymnastics,Artistic G.,0,2,1
1956,SWE,Modern Pentathlon,Modern Pentath.,1,0,0
1956,SWE,Rowing,Rowing,0,1,0
1956,SWE,Sailing,Sailing,2,0,0
1956,SWE,Shooting,Shooting,0,1,1
1956,SWE,Wrestling,Wrestling Gre-R,0,1,3
1956,TCH,Athletics,Athletics,1,0,1
1956,TCH,Cycling,Cycling Track,0,2,0
1956,TCH,Gymnastics,Artistic G.,0,1,0
1956,TCH,Shooting,Shooting,0,1,0
1956,TUR,Wrestling,Wrestling Free.,2,1,1
1956,TUR,Wrestling,Wrestling Gre-R,1,1,1
1956,URS,Aquatics,Swimming,0,0,2
1956,URS,Aquatics,Water polo,0,0,1
1956,URS,Athletics,Athletics,5,7,10
1956,URS,Basketball,Basketball,0,1,0
1956,URS,Boxing,Boxing,3,1,2
1956,URS,Canoe / Kayak,Canoe / Kayak F,2,3,2
1956,URS,Fencing,Fencing,0,0,2
1956,URS,Football,Football,1,0,0
1956,URS,Gymnastics,Artistic G.,11,6,6
1956,URS,Modern Pentathlon,Modern Pentath.,1,0,0
1956,URS,Rowing,Rowing,2,1,1
1956,URS,Shooting,Shooting,3,4,1
1956,URS,Weightlifting,Weightlifting,3,4,0
1956,URS,Wrestling,Wrestling Free.,1,1,4
1956,URS,Wrestling,Wrestling Gre-R,5,1,1
1956,URU,Basketball,Basketball,0,0,1
1956,USA,Aquatics,Diving,3,4,2
1956,USA,Aquatics,Swimming,2,4,5
1956,USA,Athletics,Athletics,16,10,5
1956,USA,Basketball,Basketball,1,0,0
1956,USA,Boxing,Boxing,2,1,0
1956,USA,Modern Pentathlon,Modern Pentath.,0,1,0
1956,USA,Rowing,Rowing,3,2,1
1956,USA,Sailing,Sailing,1,0,1
1956,USA,Shooting,Shooting,0,0,1
1956,USA,Weightlifting,Weightlifting,4,2,1
1956,USA,Wrestling,Wrestling Free.,0,1,1
1956,YUG,Aquatics,Water polo,0,1,0
1956,YUG,Athletics,Athletics,0,1,0
1956,YUG,Football,Football,0,1,0
1960,ARG,Boxing,Boxing,0,0,1
1960,ARG,Sailing,Sailing,0,1,0
1960,AUS,Aquatics,Swimming,5,5,3
1960,AUS,Athletics,Athletics,1,2,1
1960,AUS,Boxing,Boxing,0,0,2
1960,AUS,Equestrian,Eventing,2,1,0
1960,AUT,Rowing,Rowing,0,1,0
1960,AUT,Shooting,Shooting,1,0,0
1960,BEL,Athletics,Athletics,0,1,0
1960,BEL,Cycling,Cycling Road,0,0,1
1960,BEL,Cycling,Cycling Track,0,1,0
1960,BEL,Sailing,Sailing,0,0,1
1960,BRA,Aquatics,Swimming,0,0,1
1960,BRA,Basketball,Basketball,0,0,1
1960,BUL,Gymnastics,Artistic G.,0,0,1
1960,BUL,Wrestling,Wrestling Free.,0,2,1
1960,BUL,Wrestling,Wrestling Gre-R,1,1,1
1960,BWI,Athletics,Athletics,0,0,2
1960,CAN,Rowing,Rowing,0,1,0
1960,DEN,Canoe / Kayak,Canoe / Kayak F,1,0,1
1960,DEN,Football,Football,0,1,0
1960,DEN,Sailing,Sailing,1,2,0
1960,EGY,Boxing,Boxing,0,0,1
1960,EGY,Wrestling,Wrestling Gre-R,0,1,0
1960,ESP,Hockey,Hockey,0,0,1
1960,ETH,Athletics,Athletics,1,0,0
1960,EUA,Aquatics,Diving,2,0,0
1960,EUA,Aquatics,Swimming,0,1,3
1960,EUA,Athletics,Athletics,2,8,3
1960,EUA,Boxing,Boxing,0,0,1
1960,EUA,Canoe / Kayak,Canoe / Kayak F,1,2,0
1960,EUA,Cycling,Cycling Road,0,1,0
1960,EUA,Cycling,Cycling Track,0,3,0
1960,EUA,Equestrian,Dressage,0,0,1
1960,EUA,Equestrian,Jumping,1,0,0
1960,EUA,Fencing,Fencing,1,0,1
1960,EUA,Rowing,Rowing,3,1,0
1960,EUA,Sailing,Sailing,0,0,1
1960,EUA,Shooting,Shooting,1,0,1
1960,EUA,Wrestling,Wrestling Free.,1,0,0
1960,EUA,Wrestling,Wrestling Gre-R,0,3,0
1960,FIN,Athletics,Athletics,0,0,1
1960,FIN,Boxing,Boxing,0,0,1
1960,FIN,Gymnastics,Artistic G.,1,0,0
1960,FIN,Rowing,Rowing,0,0,1
1960,FIN,Shooting,Shooting,0,1,0
1960,FRA,Athletics,Athletics,0,1,1
1960,FRA,Equestrian,Eventing,0,0,1
1960,FRA,Rowing,Rowing,0,1,0
1960,FRA,Wrestling,Wrestling Gre-R,0,0,1
1960,GBR,Aquatics,Diving,0,0,2
1960,GBR,Aquatics,Swimming,1,1,1
1960,GBR,Athletics,Athletics,1,3,4
1960,GBR,Boxing,Boxing,0,0,3
1960,GBR,Equestrian,Jumping,0,0,1
1960,GBR,Fencing,Fencing,0,2,0
1960,GBR,Weightlifting,Weightlifting,0,0,1
1960,GHA,Boxing,Boxing,0,1,0
1960,GRE,Sailing,Sailing,1,0,0
1960,HUN,Aquatics,Water polo,0,0,1
1960,HUN,Athletics,Athletics,0,1,2
1960,HUN,Boxing,Boxing,1,0,0
1960,HUN,Canoe / Kayak,Canoe / Kayak F,1,3,2
1960,HUN,Fencing,Fencing,2,2,0
1960,HUN,Football,Football,0,0,1
1960,HUN,Modern Pentathlon,Modern Pentath.,2,1,0
1960,HUN,Weightlifting,Weightlifting,0,0,1
1960,HUN,Wrestling,Wrestling Gre-R,0,1,0
1960,IND,Hockey,Hockey,0,1,0
1960,IRI,Weightlifting,Weightlifting,0,0,1
1960,IRI,Wrestling,Wrestling Free.,0,1,1
1960,IRI,Wrestling,Wrestling Gre-R,0,0,1
1960,IRQ,Weightlifting,Weightlifting,0,0,1
1960,ITA,Aquatics,Water polo,1,0,0
1960,ITA,Athletics,Athletics,1,0,2
1960,ITA,Boxing,Boxing,3,3,1
1960,ITA,Canoe / Kayak,Canoe / Kayak F,0,1,0
1960,ITA,Cycling,Cycling Road,1,1,0
1960,ITA,Cycling,Cycling Track,4,0,1
1960,ITA,Equestrian,Jumping,1,1,1
1960,ITA,Fencing,Fencing,2,1,3
1960,ITA,Gymnastics,Artistic G.,0,1,2
1960,ITA,Rowing,Rowing,0,1,1
1960,ITA,Sailing,Sailing,0,0,1
1960,ITA,Shooting,Shooting,0,1,0
1960,ITA,Weightlifting,Weightlifting,0,0,1
1960,JPN,Aquatics,Swimming,0,3,2
1960,JPN,Boxing,Boxing,0,0,1
1960,JPN,Gymnastics,Artistic G.,4,2,3
1960,JPN,Shooting,Shooting,0,0,1
1960,JPN,Weightlifting,Weightlifting,0,1,0
1960,JPN,Wrestling,Wrestling Free.,0,1,0
1960,MAR,Athletics,Athletics,0,1,0
1960,MEX,Aquatics,Diving,0,0,1
1960,NED,Aquatics,Swimming,0,1,2
1960,NOR,Sailing,Sailing,1,0,0
1960,NZL,Athletics,Athletics,2,0,1
1960,PAK,Hockey,Hockey,1,0,0
1960,PAK,Wrestling,Wrestling Free.,0,0,1
1960,POL,Athletics,Athletics,2,2,3
1960,POL,Boxing,Boxing,1,3,3
1960,POL,Canoe / Kayak,Canoe / Kayak F,0,0,2
1960,POL,Fencing,Fencing,0,1,0
1960,POL,Rowing,Rowing,0,0,1
1960,POL,Weightlifting,Weightlifting,1,0,1
1960,POL,Wrestling,Wrestling Free.,0,0,1
1960,POR,Sailing,Sailing,0,1,0
1960,ROU,Athletics,Athletics,1,0,1
1960,ROU,Boxing,Boxing,0,0,1
1960,ROU,Canoe / Kayak,Canoe / Kayak F,0,0,1
1960,ROU,Fencing,Fencing,0,0,1
1960,ROU,Gymnastics,Artistic G.,0,0,1
1960,ROU,Shooting,Shooting,1,0,0
1960,ROU,Wrestling,Wrestling Gre-R,1,1,1
1960,RSA,Athletics,Athletics,0,0,1
1960,RSA,Boxing,Boxing,0,1,1
1960,SIN,Weightlifting,Weightlifting,0,1,0
1960,SUI,Equestrian,Dressage,0,1,0
1960,SUI,Equestrian,Eventing,0,1,1
1960,SUI,Rowing,Rowing,0,0,1
1960,SUI,Sailing,Sailing,0,0,1
1960,SUI,Shooting,Shooting,0,1,0
1960,SWE,Aquatics,Swimming,0,1,0
1960,SWE,Athletics,Athletics,0,1,0
1960,SWE,Canoe / Kayak,Canoe / Kayak F,1,0,1
1960,SWE,Wrestling,Wrestling Free.,0,0,1
1960,SWE,Wrestling,Wrestling Gre-R,0,0,1
1960,TCH,Athletics,Athletics,0,1,0
1960,TCH,Boxing,Boxing,1,0,1
1960,TCH,Gymnastics,Artistic G.,1,1,0
1960,TCH,Rowing,Rowing,1,0,1
1960,TCH,Wrestling,Wrestling Gre-R,0,0,1
1960,TPE,Athletics,Athletics,0,1,0
1960,TUR,Wrestling,Wrestling Free.,4,2,0
1960,TUR,Wrestling,Wrestling Gre-R,3,0,0
1960,URS,Aquatics,Diving,0,0,1
1960,URS,Aquatics,Water polo,0,1,0
1960,URS,Athletics,Athletics,11,5,5
1960,URS,Basketball,Basketball,0,1,0
1960,URS,Boxing,Boxing,1,2,2
1960,URS,Canoe / Kayak,Canoe / Kayak F,3,1,0
1960,URS,Cycling,Cycling Road,1,0,1
1960,URS,Cycling,Cycling Track,0,0,3
1960,URS,Equestrian,Dressage,1,0,0
1960,URS,Fencing,Fencing,3,2,2
1960,URS,Gymnastics,Artistic G.,10,8,8
1960,URS,Modern Pentathlon,Modern Pentath.,0,1,0
1960,URS,Rowing,Rowing,2,2,1
1960,URS,Sailing,Sailing,1,1,0
1960,URS,Shooting,Shooting,2,2,3
1960,URS,Weightlifting,Weightlifting,5,1,0
1960,URS,Wrestling,Wrestling Free.,0,2,3
1960,URS,Wrestling,Wrestling Gre-R,3,0,2
1960,USA,Aquatics,Diving,2,4,0
1960,USA,Aquatics,Swimming,9,3,3
1960,USA,Athletics,Athletics,12,8,6
1960,USA,Basketball,Basketball,1,0,0
1960,USA,Boxing,Boxing,3,0,1
1960,USA,Equestrian,Jumping,0,1,0
1960,USA,Fencing,Fencing,0,0,1
1960,USA,Modern Pentathlon,Modern Pentath.,0,0,2
1960,USA,Rowing,Rowing,1,0,1
1960,USA,Sailing,Sailing,1,0,1
1960,USA,Shooting,Shooting,1,1,0
1960,USA,Weightlifting,Weightlifting,1,4,1
1960,USA,Wrestling,Wrestling Free.,3,0,0
1960,VEN,Shooting,Shooting,0,0,1
1960,YUG,Football,Football,1,0,0
1960,YUG,Wrestling,Wrestling Gre-R,0,1,0
1964,ARG,Equestrian,Eventing,0,1,0
1964,AUS,Aquatics,Swimming,4,1,4
1964,AUS,Athletics,Athletics,1,1,4
1964,AUS,Hockey,Hockey,0,0,1
1964,AUS,Judo,Judo,0,0,1
1964,AUS,Sailing,Sailing,1,0,0
1964,BAH,Sailing,Sailing,1,0,0
1964,BEL,Athletics,Athletics,1,0,0
1964,BEL,Cycling,Cycling Road,0,0,1
1964,BEL,Cycling,Cycling Track,1,0,0
1964,BRA,Basketball,Basketball,0,0,1
1964,BUL,Boxing,Boxing,0,0,1
1964,BUL,Shooting,Shooting,0,1,0
1964,BUL,Wrestling,Wrestling Free.,2,2,1
1964,BUL,Wrestling,Wrestling Gre-R,1,2,0
1964,CAN,Athletics,Athletics,0,1,1
1964,CAN,Judo,Judo,0,1,0
1964,CAN,Rowing,Rowing,1,0,0
1964,CUB,Athletics,Athletics,0,1,0
1964,DEN,Canoe / Kayak,Canoe / Kayak F,0,0,1
1964,DEN,Cycling,Cycling Road,0,1,0
1964,DEN,Cycling,Cycling Track,0,0,1
1964,DEN,Rowing,Rowing,1,0,0
1964,DEN,Sailing,Sailing,1,0,1
1964,ETH,Athletics,Athletics,1,0,0
1964,EUA,Aquatics,Diving,1,1,0
1964,EUA,Aquatics,Swimming,0,4,2
1964,EUA,Athletics,Athletics,2,5,3
1964,EUA,Boxing,Boxing,0,2,1
1964,EUA,Canoe / Kayak,Canoe / Kayak F,2,1,1
1964,EUA,Cycling,Cycling Track,1,0,1
1964,EUA,Equestrian,Dressage,1,1,0
1964,EUA,Equestrian,Eventing,0,0,2
1964,EUA,Equestrian,Jumping,1,1,0
1964,EUA,Fencing,Fencing,0,1,1
1964,EUA,Football,Football,0,0,1
1964,EUA,Gymnastics,Artistic G.,0,1,1
1964,EUA,Judo,Judo,0,1,1
1964,EUA,Rowing,Rowing,1,2,1
1964,EUA,Sailing,Sailing,1,1,0
1964,EUA,Wrestling,Wrestling Free.,0,1,0
1964,EUA,Wrestling,Wrestling Gre-R,0,0,3
1964,FIN,Athletics,Athletics,1,0,0
1964,FIN,Boxing,Boxing,0,0,1
1964,FIN,Gymnastics,Artistic G.,0,0,1
1964,FIN,Shooting,Shooting,2,0,0
1964,FRA,Aquatics,Swimming,0,1,0
1964,FRA,Athletics,Athletics,0,1,1
1964,FRA,Boxing,Boxing,0,1,0
1964,FRA,Canoe / Kayak,Canoe / Kayak F,0,1,0
1964,FRA,Cycling,Cycling Track,0,0,2
1964,FRA,Equestrian,Jumping,1,2,0
1964,FRA,Fencing,Fencing,0,2,3
1964,FRA,Rowing,Rowing,0,1,0
1964,GBR,Aquatics,Swimming,0,1,0
1964,GBR,Athletics,Athletics,4,7,1
1964,GBR,Equestrian,Jumping,0,0,1
1964,GBR,Fencing,Fencing,0,1,0
1964,GBR,Rowing,Rowing,0,1,0
1964,GBR,Sailing,Sailing,0,1,0
1964,GBR,Weightlifting,Weightlifting,0,1,0
1964,GHA,Boxing,Boxing,0,0,1
1964,HUN,Aquatics,Water polo,1,0,0
1964,HUN,Athletics,Athletics,0,3,1
1964,HUN,Canoe / Kayak,Canoe / Kayak F,0,1,0
1964,HUN,Fencing,Fencing,4,0,0
1964,HUN,Football,Football,1,0,0
1964,HUN,Gymnastics,Artistic G.,0,1,1
1964,HUN,Modern Pentathlon,Modern Pentath.,1,0,1
1964,HUN,Shooting,Shooting,1,0,1
1964,HUN,Weightlifting,Weightlifting,0,2,1
1964,HUN,Wrestling,Wrestling Gre-R,2,0,0
1964,IND,Hockey,Hockey,1,0,0
1964,IRI,Wrestling,Wrestling Free.,0,0,2
1964,IRL,Boxing,Boxing,0,0,1
1964,ITA,Aquatics,Diving,0,1,0
1964,ITA,Athletics,Athletics,1,0,1
1964,ITA,Boxing,Boxing,2,0,3
1964,ITA,Cycling,Cycling Road,1,1,0
1964,ITA,Cycling,Cycling Track,2,4,0
1964,ITA,Equestrian,Eventing,2,0,0
1964,ITA,Equestrian,Jumping,0,0,1
1964,ITA,Fencing,Fencing,0,2,1
1964,ITA,Gymnastics,Artistic G.,1,1,1
1964,ITA,Rowing,Rowing,0,1,0
1964,ITA,Shooting,Shooting,1,0,0
1964,JPN,Aquatics,Swimming,0,0,1
1964,JPN,Athletics,Athletics,0,0,1
1964,JPN,Boxing,Boxing,1,0,0
1964,JPN,Gymnastics,Artistic G.,5,4,1
1964,JPN,Judo,Judo,3,1,0
1964,JPN,Shooting,Shooting,0,0,1
1964,JPN,Volleyball,Volleyball,1,0,1
1964,JPN,Weightlifting,Weightlifting,1,0,2
1964,JPN,Wrestling,Wrestling Free.,3,0,1
1964,JPN,Wrestling,Wrestling Gre-R,2,0,0
1964,KEN,Athletics,Athletics,0,0,1
1964,KOR,Boxing,Boxing,0,1,0
1964,KOR,Judo,Judo,0,0,1
1964,KOR,Wrestling,Wrestling Free.,0,1,0
1964,MEX,Boxing,Boxing,0,0,1
1964,NED,Aquatics,Swimming,0,2,1
1964,NED,Canoe / Kayak,Canoe / Kayak F,0,1,0
1964,NED,Cycling,Cycling Road,1,0,0
1964,NED,Cycling,Cycling Track,0,0,1
1964,NED,Judo,Judo,1,0,0
1964,NED,Rowing,Rowing,0,1,2
1964,NGR,Boxing,Boxing,0,0,1
1964,NZL,Athletics,Athletics,2,0,2
1964,NZL,Sailing,Sailing,1,0,0
1964,PAK,Hockey,Hockey,0,1,0
1964,PHI,Boxing,Boxing,0,1,0
1964,POL,Athletics,Athletics,2,4,2
1964,POL,Boxing,Boxing,3,1,3
1964,POL,Fencing,Fencing,1,1,1
1964,POL,Volleyball,Volleyball,0,0,1
1964,POL,Weightlifting,Weightlifting,1,0,3
1964,ROU,Athletics,Athletics,2,0,1
1964,ROU,Canoe / Kayak,Canoe / Kayak F,0,2,3
1964,ROU,Shooting,Shooting,0,1,0
1964,ROU,Wrestling,Wrestling Gre-R,0,1,2
1964,SUI,Equestrian,Dressage,1,2,0
1964,SUI,Judo,Judo,0,1,0
1964,SUI,Rowing,Rowing,0,0,1
1964,SWE,Athletics,Athletics,0,0,1
1964,SWE,Canoe / Kayak,Canoe / Kayak F,2,0,0
1964,SWE,Cycling,Cycling Road,0,0,1
1964,SWE,Sailing,Sailing,0,1,1
1964,SWE,Wrestling,Wrestling Gre-R,0,1,1
1964,TCH,Athletics,Athletics,0,2,0
1964,TCH,Cycling,Cycling Track,1,0,0
1964,TCH,Football,Football,0,1,0
1964,TCH,Gymnastics,Artistic G.,3,1,0
1964,TCH,Rowing,Rowing,0,0,2
1964,TCH,Shooting,Shooting,0,0,1
1964,TCH,Volleyball,Volleyball,0,1,0
1964,TCH,Weightlifting,Weightlifting,1,0,0
1964,TCH,Wrestling,Wrestling Gre-R,0,1,0
1964,TRI,Athletics,Athletics,0,1,2
1964,TUN,Athletics,Athletics,0,1,0
1964,TUN,Boxing,Boxing,0,0,1
1964,TUR,Wrestling,Wrestling Free.,1,3,1
1964,TUR,Wrestling,Wrestling Gre-R,1,0,0
1964,URS,Aquatics,Diving,0,0,1
1964,URS,Aquatics,Swimming,1,1,2
1964,URS,Aquatics,Water polo,0,0,1
1964,URS,Athletics,Athletics,5,2,11
1964,URS,Basketball,Basketball,0,1,0
1964,URS,Boxing,Boxing,3,4,2
1964,URS,Canoe / Kayak,Canoe / Kayak F,3,0,1
1964,URS,Cycling,Cycling Track,0,1,0
1964,URS,Equestrian,Dressage,0,0,2
1964,URS,Fencing,Fencing,3,1,2
1964,URS,Gymnastics,Artistic G.,4,9,5
1964,URS,Judo,Judo,0,0,2
1964,URS,Modern Pentathlon,Modern Pentath.,1,1,1
1964,URS,Rowing,Rowing,2,0,0
1964,URS,Shooting,Shooting,0,2,0
1964,URS,Volleyball,Volleyball,1,1,0
1964,URS,Weightlifting,Weightlifting,4,3,0
1964,URS,Wrestling,Wrestling Free.,2,1,2
1964,URS,Wrestling,Wrestling Gre-R,1,3,1
1964,URU,Boxing,Boxing,0,0,1
1964,USA,Aquatics,Diving,3,2,3
1964,USA,Aquatics,Swimming,13,8,8
1964,USA,Athletics,Athletics,14,7,3
1964,USA,Basketball,Basketball,1,0,0
1964,USA,Boxing,Boxing,1,0,3
1964,USA,Canoe / Kayak,Canoe / Kayak F,0,1,1
1964,USA,Equestrian,Eventing,0,1,0
1964,USA,Judo,Judo,0,0,1
1964,USA,Modern Pentathlon,Modern Pentath.,0,1,0
1964,USA,Rowing,Rowing,2,1,1
1964,USA,Sailing,Sailing,0,2,3
1964,USA,Shooting,Shooting,2,2,3
1964,USA,Weightlifting,Weightlifting,0,1,1
1964,USA,Wrestling,Wrestling Free.,0,0,1
1964,YUG,Aquatics,Water polo,0,1,0
1964,YUG,Gymnastics,Artistic G.,1,0,1
1964,YUG,Wrestling,Wrestling Gre-R,1,0,1
1968,ARG,Boxing,Boxing,0,0,1
1968,ARG,Rowing,Rowing,0,0,1
1968,AUS,Aquatics,Swimming,3,2,3
1968,AUS,Athletics,Athletics,2,3,1
1968,AUS,Equestrian,Eventing,0,0,1
1968,AUS,Hockey,Hockey,0,1,0
1968,AUS,Rowing,Rowing,0,1,0
1968,AUT,Athletics,Athletics,0,1,1
1968,AUT,Canoe / Kayak,Canoe / Kayak F,0,0,1
1968,AUT,Sailing,Sailing,0,1,0
1968,BEL,Cycling,Cycling Track,0,0,1
1968,BEL,Weightlifting,Weightlifting,0,1,0
1968,BRA,Athletics,Athletics,0,1,0
1968,BRA,Boxing,Boxing,0,0,1
1968,BRA,Sailing,Sailing,0,0,1
1968,BUL,Boxing,Boxing,0,0,2
1968,BUL,Football,Football,0,1,0
1968,BUL,Wrestling,Wrestling Free.,0,3,1
1968,BUL,Wrestling,Wrestling Gre-R,2,0,0
1968,CAN,Aquatics,Swimming,0,3,1
1968,CAN,Equestrian,Jumping,1,0,0
1968,CMR,Boxing,Boxing,0,1,0
1968,CUB,Athletics,Athletics,0,2,0
1968,CUB,Boxing,Boxing,0,2,0
1968,DEN,Canoe / Kayak,Canoe / Kayak F,0,0,1
1968,DEN,Cycling,Cycling Road,0,1,0
1968,DEN,Cycling,Cycling Track,1,2,0
1968,DEN,Rowing,Rowing,0,0,2
1968,DEN,Sailing,Sailing,0,1,0
1968,ETH,Athletics,Athletics,1,1,0
1968,FIN,Athletics,Athletics,0,1,0
1968,FIN,Boxing,Boxing,0,0,1
1968,FIN,Gymnastics,Artistic G.,0,1,0
1968,FIN,Weightlifting,Weightlifting,1,0,0
1968,FRA,Aquatics,Swimming,0,0,1
1968,FRA,Athletics,Athletics,1,0,1
1968,FRA,Cycling,Cycling Track,4,0,1
1968,FRA,Equestrian,Eventing,1,0,0
1968,FRA,Equestrian,Jumping,0,2,0
1968,FRA,Fencing,Fencing,1,0,1
1968,FRA,Modern Pentathlon,Modern Pentath.,0,0,1
1968,FRA,Wrestling,Wrestling Free.,0,1,0
1968,FRA,Wrestling,Wrestling Gre-R,0,1,0
1968,FRG,Aquatics,Swimming,0,0,2
1968,FRG,Athletics,Athletics,1,4,3
1968,FRG,Boxing,Boxing,0,0,1
1968,FRG,Canoe / Kayak,Canoe / Kayak F,1,2,0
1968,FRG,Cycling,Cycling Track,0,1,0
1968,FRG,Equestrian,Dressage,2,1,1
1968,FRG,Equestrian,Jumping,0,0,1
1968,FRG,Rowing,Rowing,1,1,0
1968,FRG,Sailing,Sailing,0,1,0
1968,FRG,Shooting,Shooting,1,1,1
1968,FRG,Wrestling,Wrestling Free.,0,0,1
1968,GBR,Aquatics,Swimming,0,1,0
1968,GBR,Athletics,Athletics,1,2,1
1968,GBR,Boxing,Boxing,1,0,0
1968,GBR,Equestrian,Eventing,1,1,0
1968,GBR,Equestrian,Jumping,0,1,1
1968,GBR,Sailing,Sailing,1,0,1
1968,GBR,Shooting,Shooting,1,0,0
1968,GDR,Aquatics,Swimming,2,3,1
1968,GDR,Athletics,Athletics,2,3,1
1968,GDR,Boxing,Boxing,1,0,0
1968,GDR,Gymnastics,Artistic G.,0,2,2
1968,GDR,Rowing,Rowing,2,1,0
1968,GDR,Sailing,Sailing,0,0,1
1968,GDR,Shooting,Shooting,0,0,2
1968,GDR,Wrestling,Wrestling Gre-R,2,0,0
1968,GRE,Wrestling,Wrestling Gre-R,0,0,1
1968,HUN,Aquatics,Water polo,0,0,1
1968,HUN,Athletics,Athletics,2,1,4
1968,HUN,Canoe / Kayak,Canoe / Kayak F,2,3,1
1968,HUN,Fencing,Fencing,2,2,3
1968,HUN,Football,Football,1,0,0
1968,HUN,Modern Pentathlon,Modern Pentath.,1,1,0
1968,HUN,Rowing,Rowing,0,1,0
1968,HUN,Shooting,Shooting,0,1,0
1968,HUN,Weightlifting,Weightlifting,0,1,1
1968,HUN,Wrestling,Wrestling Free.,0,0,1
1968,HUN,Wrestling,Wrestling Gre-R,2,0,1
1968,IND,Hockey,Hockey,0,0,1
1968,IRI,Weightlifting,Weightlifting,1,1,0
1968,IRI,Wrestling,Wrestling Free.,1,0,2
1968,ITA,Aquatics,Diving,1,1,0
1968,ITA,Athletics,Athletics,0,0,2
1968,ITA,Boxing,Boxing,0,0,1
1968,ITA,Cycling,Cycling Road,1,0,1
1968,ITA,Cycling,Cycling Track,0,1,1
1968,ITA,Fencing,Fencing,0,1,1
1968,ITA,Rowing,Rowing,1,0,1
1968,ITA,Sailing,Sailing,0,0,2
1968,ITA,Shooting,Shooting,0,1,0
1968,JAM,Athletics,Athletics,0,1,0
1968,JPN,Athletics,Athletics,0,1,0
1968,JPN,Boxing,Boxing,0,0,1
1968,JPN,Football,Football,0,0,1
1968,JPN,Gymnastics,Artistic G.,6,2,4
1968,JPN,Volleyball,Volleyball,0,2,0
1968,JPN,Weightlifting,Weightlifting,1,1,1
1968,JPN,Wrestling,Wrestling Free.,3,0,0
